article.id,segment_n,rel_humid,dist,humid_diff,stat_sig,percent_diff,season,matrix_type,edge_orient,edge_age_years,finer_scale,SD_SE_CI_V,SD_SE_CI_V_n,notes
44,NA,NA,17,11.69,NA,NA,NA,field,NA,NA,NA,SD,6.01,comparison to edge
44,NA,NA,22,8.54,NA,NA,NA,field,NA,NA,NA,SD,3.5,comparison to edge
44,NA,NA,27,10.7,NA,NA,NA,field,NA,NA,NA,SD,5.13,comparison to edge
44,NA,NA,33,12.68,NA,NA,NA,field,NA,NA,NA,SD,6.01,comparison to edge
44,NA,NA,37,10.99,NA,NA,NA,field,NA,NA,NA,SD,7.11,comparison to edge
44,NA,NA,42,10,NA,NA,NA,field,NA,NA,NA,SD,1.46,comparison to edge
44,NA,NA,47,9.71,NA,NA,NA,field,NA,NA,NA,SD,4.49,comparison to edge
44,NA,NA,53,10.52,NA,NA,NA,field,NA,NA,NA,SD,3.56,comparison to edge
44,NA,NA,57,10,NA,NA,NA,field,NA,NA,NA,SD,0,comparison to edge
44,NA,NA,62,13.03,NA,NA,NA,field,NA,NA,NA,SD,4.2,comparison to edge
44,NA,NA,68,13.03,NA,NA,NA,field,NA,NA,NA,SD,0,comparison to edge
44,NA,NA,72,10.76,NA,NA,NA,field,NA,NA,NA,SD,5.07,comparison to edge
44,NA,NA,77,9.01,NA,NA,NA,field,NA,NA,NA,SD,0,comparison to edge
8,a,75.73,5,NA,NA,NA,NA,pine.plantation,S,NA,NA,NA,NA,
8,a,75.21,50,NA,NA,NA,NA,pine.plantation,S,NA,NA,NA,NA,
8,a,76.01,100,NA,NA,NA,NA,pine.plantation,S,NA,NA,NA,NA,
8,b,76.28,5,NA,NA,NA,NA,shrubland,N,NA,NA,NA,NA,
8,b,76.93,50,NA,NA,NA,NA,shrubland,N,NA,NA,NA,NA,
8,b,75.65,100,NA,NA,NA,NA,shrubland,N,NA,NA,NA,NA,
8,c,72.84,5,NA,NA,NA,NA,shrubland,S,NA,NA,NA,NA,
8,c,73.95,50,NA,NA,NA,NA,shrubland,S,NA,NA,NA,NA,
8,c,74.96,100,NA,NA,NA,NA,shrubland,S,NA,NA,NA,NA,
8,d,74.86,5,NA,NA,NA,NA,oak.forest,S,NA,NA,NA,NA,
8,d,73.83,50,NA,NA,NA,NA,oak.forest,S,NA,NA,NA,NA,
8,d,76.41,100,NA,NA,NA,NA,oak.forest,S,NA,NA,NA,NA,
10,NA,35.4,0,NA,NA,NA,spring,NA,NA,NA,NA,SD,7.8,
10,NA,35.7,120,NA,NA,NA,spring,NA,NA,NA,NA,SD,8.1,
12,a,44.98,-10,NA,N,NA,dry,ag.field,NA,NA,NA,SE,3.12,
12,b,46.76,-10,NA,N,NA,dry,ag.field,NA,NA,NA,SE,2.05,
12,c,45.81,-10,NA,N,NA,dry,ag.field,NA,NA,NA,SE,2.21,
12,a,54.9,0,NA,N,NA,dry,ag.field,NA,NA,NA,SE,3.56,
12,b,54.23,0,NA,N,NA,dry,ag.field,NA,NA,NA,SE,1.78,
12,c,57.31,0,NA,N,NA,dry,ag.field,NA,NA,NA,SE,2.37,
12,a,57.91,30,NA,N,NA,dry,ag.field,NA,NA,NA,SE,1.42,
12,b,62.02,30,NA,N,NA,dry,ag.field,NA,NA,NA,SE,4.03,
12,c,62.09,30,NA,N,NA,dry,ag.field,NA,NA,NA,SE,3.48,
20,NA,78.09,50,NA,NA,NA,NA,NA,NA,NA,monthly,SE,0.6,
20,NA,70.25,0,NA,NA,NA,NA,NA,NA,NA,monthly,SE,0.72,
50,NA,80.57,0,NA,NA,NA,NA,grassland,NA,NA,NA,SE,1.29,
50,NA,83.91,15,NA,NA,NA,NA,grassland,NA,NA,NA,SE,0.95,
50,NA,86.14,30,NA,NA,NA,NA,grassland,NA,NA,NA,SE,0.95,
50,NA,88.89,45,NA,NA,NA,NA,grassland,NA,NA,NA,SE,0.6,
60,a,55.44,-10,NA,NA,NA,NA,field,E,1,NA,SE,2.18,
60,b,71.93,-10,NA,NA,NA,NA,stand,S,10,NA,SE,2.66,
60,a,65.62,0,NA,NA,NA,NA,field,E,1,NA,SE,1.7,
60,b,74.84,0,NA,NA,NA,NA,stand,S,10,NA,SE,2.66,
60,a,73.14,30,NA,NA,NA,NA,field,E,1,NA,SE,1.94,
60,b,78.71,30,NA,NA,NA,NA,stand,S,10,NA,SE,2.43,
34,NA,22.83,-5,NA,NA,NA,dry,NA,NA,20,NA,SE,1.26,
34,NA,23.91,0,NA,NA,NA,dry,NA,NA,20,NA,SE,1.22,
34,NA,25.9,30,NA,NA,NA,dry,NA,NA,20,NA,SE,0.64,
62,NA,69,0,NA,NA,NA,NA,sugarcane.field,NA,NA,NA,NA,NA,
62,NA,79,40,NA,Y,NA,NA,sugarcane.field,NA,NA,NA,NA,NA,
13,NA,74.22,0,NA,N,NA,wet,sandscrub,NA,NA,NA,NA,NA,
13,NA,78.07,10,NA,N,NA,wet,sandscrub,NA,NA,NA,NA,NA,
13,NA,76.92,20,NA,N,NA,wet,sandscrub,NA,NA,NA,NA,NA,
13,NA,77.18,30,NA,N,NA,wet,sandscrub,NA,NA,NA,NA,NA,
13,NA,77.34,40,NA,N,NA,wet,sandscrub,NA,NA,NA,NA,NA,
13,NA,77.39,50,NA,N,NA,wet,sandscrub,NA,NA,NA,NA,NA,
14,NA,48.4,0,NA,Y,NA,dry,pasture,NA,NA,NA,SD,18.1,
14,NA,50.5,40,NA,Y,NA,dry,pasture,NA,NA,NA,SD,17.2,
14,NA,52.7,80,NA,N,NA,dry,pasture,NA,NA,NA,SD,16.5,
14,NA,54.4,120,NA,N,NA,dry,pasture,NA,NA,NA,SD,16.2,
14,NA,55.2,160,NA,N,NA,dry,pasture,NA,NA,NA,SD,16.3,
